1-2 2.5513881754059 1.58724534887067 3.74296691165941
2-3 2.58101011460074 0.23467107842422 3.39004045170873
3-4 2.65284123707264 1.58724553571632 3.95418367977595
4-5 2.62119181862544 2.43530904182893 3.33719256759909
5-6 2.58603600956843 2.51893460982361 2.67910904506037
6-7 2.58162959558341 2.53958267867765 2.60059543444345
7-8 2.57927146254841 2.56951035249431 2.59198583629617
8-9 2.58193285408109 2.57386012999972 2.58772251339278
9-10 2.58485292764437 2.58089676656695 2.58880477166713
10-11 2.58543065054956 2.58220926252186 2.58763656637264
11-12 2.58405328256763 2.58192736398824 2.58667653843548
12-13 2.58543069726145 2.58220930923347 2.58763661308458
13-14 2.58485152630084 2.58089536522343 2.58880337032394
14-15 2.58193425542416 2.57386153134258 2.58772391473564
15-16 2.57927001449391 2.57165359602731 2.5919843882417
16-17 2.58163104363791 2.53958412673212 2.59845219091045
17-18 2.58603390755429 2.51893250780933 2.67910694304609
